,pit_id,depth,grain_size,site_name,latitude,longitude,date,height,density,temperature
203,COGM2C12_20200212,0.0,,Grand Mesa,39.05323630580767,-108.20076489438127,2020-02-12,90.0,,-1.8
204,COGM2C12_20200212,10.0,1.5,Grand Mesa,39.05323630580767,-108.20076489438127,2020-02-12,90.0,,-2.7
205,COGM2C12_20200212,20.0,3.0,Grand Mesa,39.05323630580767,-108.20076489438127,2020-02-12,90.0,307.5,-3.2
206,COGM2C12_20200212,30.0,1.5,Grand Mesa,39.05323630580767,-108.20076489438127,2020-02-12,90.0,305.5,-3.7
207,COGM2C12_20200212,40.0,,Grand Mesa,39.05323630580767,-108.20076489438127,2020-02-12,90.0,312.0,-4.8
208,COGM2C12_20200212,50.0,1.5,Grand Mesa,39.05323630580767,-108.20076489438127,2020-02-12,90.0,262.5,-6.3
209,COGM2C12_20200212,60.0,1.5,Grand Mesa,39.05323630580767,-108.20076489438127,2020-02-12,90.0,287.0,-8.5
212,COGM2C12_20200212,70.0,1.5,Grand Mesa,39.05323630580767,-108.20076489438127,2020-02-12,90.0,297.0,-11.6
213,COGM2C12_20200212,80.0,1.0,Grand Mesa,39.05323630580767,-108.20076489438127,2020-02-12,90.0,241.5,-12.3
215,COGM2C12_20200212,80.0,1.0,Grand Mesa,39.05323630580767,-108.20076489438127,2020-02-12,90.0,241.5,-13.2
217,COGM2C13_20200212,0.0,,Grand Mesa,39.04960910452067,-108.20090818903559,2020-02-12,78.0,,-1.4
218,COGM2C13_20200212,10.0,1.5,Grand Mesa,39.04960910452067,-108.20090818903559,2020-02-12,78.0,,-2.2
219,COGM2C13_20200212,20.0,,Grand Mesa,39.04960910452067,-108.20090818903559,2020-02-12,78.0,,-2.7
220,COGM2C13_20200212,30.0,1.5,Grand Mesa,39.04960910452067,-108.20090818903559,2020-02-12,78.0,310.0,-4.2
221,COGM2C13_20200212,40.0,1.5,Grand Mesa,39.04960910452067,-108.20090818903559,2020-02-12,78.0,280.5,-4.7
222,COGM2C13_20200212,50.0,3.0,Grand Mesa,39.04960910452067,-108.20090818903559,2020-02-12,78.0,265.5,-6.7
223,COGM2C13_20200212,60.0,1.5,Grand Mesa,39.04960910452067,-108.20090818903559,2020-02-12,78.0,289.0,-8.8
224,COGM2C13_20200212,70.0,1.5,Grand Mesa,39.04960910452067,-108.20090818903559,2020-02-12,78.0,260.0,-11.0
